,Filename,Text
0,Test181.jpg,
1,Test239.jpg,"learned this the hard way...
""You either say how you feel and fuck
it up or say nothing and let it fuck you
up instead.""
"
2,Test581.jpg,
3,Test113.jpg,
4,Test105.jpg,
5,Test757.jpg,"i •arr.d
from
discnm.nated
Everything
bod hat
happened to
m. has
"
6,Test2434.jpg,"SOu VASU IS CUUL'
A •OUAE SEOUL' •ot cm•
•oun to u
SLAVIS
t•vuscnoss An rur •oun
S80uD AS AS
"
7,Test835.jpg,"SOUNDS
"
8,Test234.jpg,
9,Test1884.jpg,"kl jus*heardyousay... „
at s so gay!
ludicrou . nalVe. •volous.
irrational nterestin . cunous_
eccentric. bogus we . foolish
goofy. Insipid absurd. ridiculous
annoying. as.n.ne,
yesterday.
"
10,Test3827.jpg,"Being gay is not a crime
and it is not a sin. Stop using
God to justify your prejudice.
Religion is about loving one
another. You're just looking
for an excuse to hate.
Being Gay & Proud Quotes
www.geck oandfly.com
"
11,Test903.jpg,"E.MPO""
EXPRESS
ot RSELE
"
12,Test396.jpg,"""Theref€ nöthiog
wrong with you.
There s a
with the world you
"
13,Test661.jpg,"ASLEEP
OJ. IT'S
"
14,Test132.jpg,
15,Test3985.jpg,
16,Test2007.jpg,"We are powerful
because we have
survived.
AUDRE LORDE
"
17,Test2049.jpg,
18,Test172.jpg,"so æpose
because of the Bible?
Unless also to to
(Lev.
please shut the hell
"
19,Test179.jpg,
20,Test941.jpg,"If Harry Totter
taught us anything
It's that no one
should live in a closet
"
21,Test114.jpg,
22,Test1071.jpg,"People may hate you
for being different and
not living by society's
but deep down,
they wish they had the
courage to do the same.
Being Gay €3 Proud Quotes
www.geckoandfly.com
"
23,Test3265.jpg,"A lot of parents will
do anything for their
kids except let them
be themselves.
Being Gay €3 Proud Quotes
www.geckoandfly.coth
"
24,Test237.jpg,
25,Test861.jpg,
26,Test228.jpg,
27,Test3706.jpg,"'Sfitte sourwitf tie same egoless fumiGty
as raitt60w atuftto matter you go
in tfis wodor tie ne.v, rove wilTNyou,
'Power8W6«v
"
28,Test3159.jpg,"Gay •s
THRIV•"". SOME
ACTIVISTS
RECENT RISE
VOUNCE
MIGHT A GAUGE 0'
SUCCUS Of nsmvt
'MAGES.
"
29,Test761.jpg,"you can
you're halfway
T. ROOSEVELT
"
30,Test811.jpg,
31,Test353.jpg,
32,Test929.jpg,"Happiness
is when wha+
you +hink,
who} you
50M, and
whd+you
do are in
harmony.
Inspiring and Positive Quotes
"
33,Test614.jpg,"I learned
compassion from
being discriminated
against. Everything
bad that's ever
happened to
me has taught
me compassion.
ELLEN DEGENERES
"
34,Test374.jpg,
35,Test3118.jpg,"KEEP CALM
AND LOVE
WHO YOU WANT
"
36,Test2616.jpg,"TO be afraid is
to behave as
if the truth were
not true.
"
37,Test2114.jpg,
38,Test937.jpg,"you are
V LOVAB LE
VWORTHY
V ENOUGH
V B RAVE
"
39,Test233.jpg,
40,Test490.jpg,"ACCEPTANCE
OF YOURSELF
S FAR MORE
MPORTANT
HAN
CCEPTANCE
0M OTHERS.
"
41,Test942.jpg,"""bile woman
unfree. esen
her
different
"
42,Test422.jpg,"SOUNDS
... I'M IN
"
43,Test201.jpg,"Ad&d Me
"
44,Test165.jpg,
45,Test243.jpg,"t.og•rq FREEDOM
"
46,Test122.jpg,
47,Test1199.jpg,"Do you realize what you
say. when you say
'That's so gay!""?
The way ""gay- is used now-a-days has a
negative connotation. Which it should not!
""CAY""
means colored happy and or homosexual
NOT
AUUOYIUC. STUPID. FOOLISH. PATHETIC.
LODtcnoes. IRRATIONAL.CORI""S.
WEAK. OOCUS. RIDICULOUS.
FRIVOLOUS. CHILDISH.
ADSORD.AWNWARD.
FREAKY.
GOOOGA woo
""W YO%Y.
ITS ONLY THE SMART THING TO DO.
"
48,Test191.jpg,"Jason J L
jaybs121 14
O Added Me
Everyone add my new
or comment
Snapchat
names below. I'll be posting
positive quotes every day
Igbtpride loveislove Igbt trans
transmatter transgender
transgirl transmale lesbian
lesbiansex gaypride gay bi
bisexualpride bisexual bipride
asexual asexualpride
pansexualpride pansexual
protecttranskids pride swag ftm
mtf
"
49,Test3798.jpg,
50,Test192.jpg,
51,Test1767.jpg,"IN THE WE CAN
ANG BABAE DAPAT MAGSUOT AT
ANG MAGSUOT PANLALAKL
WHAT BELIEVE""
"
52,Test833.jpg,"HATE
IT HAS CAUSED A LOT
OF PROBLEMS IN THIS
WORLD, BuT IS HAS
NOT SOLVED ONE YET.
-MAYA ANGELOU
"
53,Test238.jpg,"IHUFFPOSra
"
