,Unnamed: 0,Filename,Text
0,0,Test181.jpg,nan
1,1,Test239.jpg,"learned this the hard way...""You either say how you feel and fuckit up or say nothing and let it fuck youup instead."""
2,2,Test581.jpg,nan
3,3,Test113.jpg,nan
4,4,Test105.jpg,nan
5,5,Test757.jpg,i arr.dfromdiscnm.natedEverythingbod hathappened tom. has
6,6,Test2434.jpg,SOu VASU IS CUUL'A OUAE SEOUL' ot cmoun to uSLAVIStvuscnoss An rur ounS80uD AS AS
7,7,Test835.jpg,SOUNDS
8,8,Test234.jpg,nan
9,9,Test1884.jpg,"kl jus*heardyousay... at s so gay!ludicrou . nalVe. volous.irrational nterestin . cunous_eccentric. bogus we . foolishgoofy. Insipid absurd. ridiculousannoying. as.n.ne,yesterday."
10,10,Test3827.jpg,Being gay is not a crimeand it is not a sin. Stop usingGod to justify your prejudice.Religion is about loving oneanother. You're just lookingfor an excuse to hate.Being Gay & Proud Quoteswww.geck oandfly.com
11,11,Test903.jpg,"E.MPO""EXPRESSot RSELE"
12,12,Test396.jpg,"""Theref nthiogwrong with you.There s awith the world you"
13,13,Test661.jpg,ASLEEPOJ. IT'S
14,14,Test132.jpg,nan
15,15,Test3985.jpg,nan
16,16,Test2007.jpg,We are powerfulbecause we havesurvived.AUDRE LORDE
17,17,Test2049.jpg,nan
18,18,Test172.jpg,so posebecause of the Bible?Unless also to to(Lev.please shut the hell
19,19,Test179.jpg,nan
20,20,Test941.jpg,If Harry Tottertaught us anythingIt's that no oneshould live in a closet
21,21,Test114.jpg,nan
22,22,Test1071.jpg,"People may hate youfor being different andnot living by society'sbut deep down,they wish they had thecourage to do the same.Being Gay 3 Proud Quoteswww.geckoandfly.com"
23,23,Test3265.jpg,A lot of parents willdo anything for theirkids except let thembe themselves.Being Gay 3 Proud Quoteswww.geckoandfly.coth
24,24,Test237.jpg,nan
25,25,Test861.jpg,nan
26,26,Test228.jpg,nan
27,27,Test3706.jpg,"'Sfitte sourwitf tie same egoless fumiGtyas raitt60w atuftto matter you goin tfis wodor tie ne.v, rove wilTNyou,'Power8W6v"
28,28,Test3159.jpg,"Gay sTHRIV"". SOMEACTIVISTSRECENT RISEVOUNCEMIGHT A GAUGE 0'SUCCUS Of nsmvt'MAGES."
29,29,Test761.jpg,you canyou're halfwayT. ROOSEVELT
30,30,Test811.jpg,nan
31,31,Test353.jpg,nan
32,32,Test929.jpg,"Happinessis when wha+you +hink,who} you50M, andwhd+youdo are inharmony.Inspiring and Positive Quotes"
33,33,Test614.jpg,I learnedcompassion frombeing discriminatedagainst. Everythingbad that's everhappened tome has taughtme compassion.ELLEN DEGENERES
34,34,Test374.jpg,nan
35,35,Test3118.jpg,KEEP CALMAND LOVEWHO YOU WANT
36,36,Test2616.jpg,TO be afraid isto behave asif the truth werenot true.
37,37,Test2114.jpg,nan
38,38,Test937.jpg,you areV LOVAB LEVWORTHYV ENOUGHV B RAVE
39,39,Test233.jpg,nan
40,40,Test490.jpg,ACCEPTANCEOF YOURSELFS FAR MOREMPORTANTHANCCEPTANCE0M OTHERS.
41,41,Test942.jpg,"""bile womanunfree. esenherdifferent"
42,42,Test422.jpg,SOUNDS... I'M IN
43,43,Test201.jpg,Ad&d Me
44,44,Test165.jpg,nan
45,45,Test243.jpg,t.ogrq FREEDOM
46,46,Test122.jpg,nan
47,47,Test1199.jpg,"Do you realize what yousay. when you say'That's so gay!""?The way ""gay- is used now-a-days has anegative connotation. Which it should not!""CAY""means colored happy and or homosexualNOTAUUOYIUC. STUPID. FOOLISH. PATHETIC.LODtcnoes. IRRATIONAL.CORI""S.WEAK. OOCUS. RIDICULOUS.FRIVOLOUS. CHILDISH.ADSORD.AWNWARD.FREAKY.GOOOGA woo""W YO%Y.ITS ONLY THE SMART THING TO DO."
48,48,Test191.jpg,Jason J Ljaybs121 14O Added MeEveryone add my newor commentSnapchatnames below. I'll be postingpositive quotes every dayIgbtpride loveislove Igbt transtransmatter transgendertransgirl transmale lesbianlesbiansex gaypride gay bibisexualpride bisexual biprideasexual asexualpridepansexualpride pansexualprotecttranskids pride swag ftmmtf
49,49,Test3798.jpg,nan
50,50,Test192.jpg,nan
51,51,Test1767.jpg,"IN THE WE CANANG BABAE DAPAT MAGSUOT ATANG MAGSUOT PANLALAKLWHAT BELIEVE"""
52,52,Test833.jpg,"HATEIT HAS CAUSED A LOTOF PROBLEMS IN THISWORLD, BuT IS HASNOT SOLVED ONE YET.-MAYA ANGELOU"
53,53,Test238.jpg,IHUFFPOSra
54,54,Test644.jpg,THE BEAUTY OFSTANDING UP FOR YOURRIGHTS IS OTHERS SEEYOU STANDING ANDSTAND UP AS WELL.
55,55,Test133.jpg,nan
56,56,Test527.jpg,"Gay pride or LGBT pride is the positive stance againstdiscrimination and violence toward lesbian, gay,bisexual, and transgender (LGBT) people to promotetheir self-affirmation, dignity, equality rights, increasetheir visibility as a social group, build community, andcelebrate sexual diversity and gender variance.uote.iYour"
57,57,Test3177.jpg,nan
58,58,Test912.jpg,"Burst dun thosecloset doors onceand for all, andstand up andstart to fight.Harvey"
59,59,Test3024.jpg,nan
60,60,Test890.jpg,The Biblical Case inSupport of Same-SexRelationshipsGODANDTHECHRISTIANMATTHEW VINES
61,61,Test789.jpg,by t'.status is
62,62,Test108.jpg,s
63,63,Test250.jpg,5 BEST GAY}QUOTESWWW.GDBLOG.NET
64,64,Test779.jpg,"We are legal""In au fifty states""'"
65,65,Test3246.jpg,LOVE
66,66,Test624.jpg,nan
67,67,Test144.jpg,nan
68,68,Test154.jpg,nan
69,69,Test1837.jpg,KEEP CALMAND LOVEWHO you WANT
70,70,Test1240.jpg,nan
71,71,Test198.jpg,Anti-LGBT: States that have laws restricting teachers and staff fromtalking about LGBT issues at schoolSouth
72,72,Test3512.jpg,nan
73,73,Test400.jpg,"Being gay is like beingleft handed. Some peopleare, most people aren'tand nobody really knowswhy. It's not right or wrong,it's just the way things are!Being Gay 3 Proud Quoteswww.geckoandfly.com"
74,74,Test236.jpg,nan
75,75,Test1644.jpg,"""I wish more teacherscould elaborate on it[L GBTQ topics] and talkabout it more, instead oflike, two sentences andthen dismiss the subject. ""ELAINAWha Know'So-to Year ChisAbout rwcs(A Wekcynng F"
76,76,Test1776.jpg,Of course gay mendress well. They didn'tspend all that time inthe closet doing nothing.U3eing Gay Proud Quoteswww.geckoandfly.com
77,77,Test242.jpg,krned this turd way...oy it
78,78,Test173.jpg,nan
79,79,Test1290.jpg,nan
80,80,Test232.jpg,nan
81,81,Test206.jpg,nan
82,82,Test140.jpg,nan
83,83,Test1229.jpg,"From the time I wasa kid, I have neverbeen able tounderstand attacks upon the gaycommunity. There are so manyqualities that make up a human being...by the time I get through with all thethings that I really admire about people,what they do with their private parts isprobably so low on the list that it is irrelevant.Paul Newman"
84,84,Test161.jpg,nan
85,85,Test545.jpg,I AM1 AM EESBHN-.I AM1 AM1 AM HUMAN.
86,86,Test2870.jpg,"""People don't know if i'm gay, straight oran alien from outer spre.. its funny"""
87,87,Test3789.jpg,nan
88,88,Test213.jpg,LOVE KNOWSNO GENDER
89,89,Test397.jpg,"Back then mydenial was both activeand passive.Caught shadowboxingmy subconscious, I wasdetermined to dodge the danger ofmy natural desires."
90,90,Test152.jpg,nan
91,91,Test117.jpg,nan
92,92,Test3864.jpg,Iftaught us anything
93,93,Test134.jpg,nan
94,94,Test884.jpg,you canyou're halfwayT. ROOSEVELT
95,95,Test225.jpg,nan
96,96,Test2309.jpg,"Find out who you areand be that person.That's what your soulwas put on this earthto be. Find that truth,live that truth, andeverything elsewill come."
97,97,Test143.jpg,nan
98,98,Test668.jpg,When it comesto the rights ofLGBT people.the UN is anythingbut neutral.. CHARL ES RADCLIFFEUN FREE EOUALachartes_rad / afree_equal
99,99,Test859.jpg,Abandon the eulturimyth thatfriendships must bethis mythprtt' but
100,100,Test3975.jpg,nan
101,101,Test1992.jpg,YO LSAY'BE STNAIGHT'1 SAY TASTETHE RAiNBOW'
102,102,Test993.jpg,Being gay is not a crimeand it is not a sin. Stop usingGod to justify your prejudice.Religion is about loving oneanother. You're just lookingfor an excuse to hate.Being Gay & Proud Quoteswww.geck oandfly.com
103,103,Test533.jpg,nan
104,104,Test151.jpg,nan
105,105,Test240.jpg,nan
106,106,Test1724.jpg,some ayedy in theirlives but I've only hadr c haircui's
107,107,Test183.jpg,TEEN PROBLEMS
108,108,Test2371.jpg,"When people askwhat I see in you,I just smile andlook away becauseI'm afraid if they knew,they'd fall in lovewith you too."
109,109,Test209.jpg,nan
110,110,Test1279.jpg,nan
111,111,Test372.jpg,GAY CULTURE IS SURVIVINGAND THRIVING. SOMEACTIVISTS BELIEVE THERECENT RISE INHOMOPHOBIC VIOLENCEMIGHT BE A GAUGE OF THESUCCESS OF POSITIVE GAYIMAGES.LANCI
112,112,Test946.jpg,"""I arn not Creewhile any wonuunis unfree, evenwhen her shacklesare very difltrentfroin mv own.AUDRE LORDE"
113,113,Test1818.jpg,nan
114,114,Test1902.jpg,nan
115,115,Test449.jpg,isbut neutral
116,116,Test482.jpg,We are legal!!!In all fifty states!!!
117,117,Test1788.jpg,nan
118,118,Test2068.jpg,nan
119,119,Test3863.jpg,"ALWAYS BEEN,BETWEEN A MANAND A WOMAN."""
120,120,Test136.jpg,nan
121,121,Test107.jpg,lesbianvenom:lesbianvenom:straighteners aren't worth ur money i've been using one for threeweeks and i'm still definitely a lesbianin all my 20 years of living this has been by far my bestjoke ever
122,122,Test715.jpg,Gay culture issurviving andthriving. Someactivists believe therecent rise inhomophobic violencemight be a gauge ofthe success ofpositive gay images.Lance Loud
